driver_id,driver_name,city,total_rides,total_earnings,avg_fare_per_ride,total_hours_online,rides_per_hour
D163,Driver_163,Mumbai,8,474.75,59.34,72.0,0.11
D539,Driver_539,Bangalore,26,4312.4,165.86,182.0,0.14
D2029,Driver_2029,Mumbai,16,1310.88,81.93,144.0,0.11
D3848,Driver_3848,Bangalore,65,9821.1,151.09,455.0,0.14
D4486,Driver_4486,Bangalore,19,2717.19,143.01,,
D3623,Driver_3623,Bangalore,10,1588.34,158.83,60.0,0.17
D3898,Driver_3898,Mumbai,10,617.28,61.73,80.0,0.13
D97,Driver_97,Delhi,10,635.57,63.56,70.0,0.14
D3660,Driver_3660,Delhi,45,1525.5,33.9,387.0,0.12
D334,Driver_334,Chennai,13,1054.3,81.1,52.0,0.25
D2026,Driver_2026,Delhi,48,2492.8,51.93,396.0,0.12
D3177,Driver_3177,Hyderabad,12,298.41,24.87,72.0,0.17
D1454,Driver_1454,Mumbai,14,552.0,39.43,105.0,0.13
D4809,Driver_4809,Chennai,27,2335.53,86.5,216.0,0.13
D1801,Driver_1801,Mumbai,20,1672.5,83.63,160.0,0.13
D4303,Driver_4303,Hyderabad,10,628.12,62.81,,
D3020,Driver_3020,Mumbai,14,1311.9,93.71,112.0,0.13
D2707,Driver_2707,Bangalore,18,2538.34,141.02,108.0,0.17
D4718,Driver_4718,Bangalore,27,3762.18,139.34,144.0,0.19
D2389,Driver_2389,Chennai,24,1998.1,83.25,192.0,0.13
D2865,Driver_2865,Hyderabad,64,5006.0,78.22,624.0,0.1
D652,Driver_652,Bangalore,28,3757.06,134.18,182.0,0.15
D1014,Driver_1014,Bangalore,14,1767.23,126.23,84.0,0.17
D468,Driver_468,Chennai,48,4997.73,104.12,368.0,0.13
D4829,Driver_4829,Mumbai,48,3443.4,71.74,384.0,0.13
D2666,Driver_2666,Delhi,42,2216.7,52.78,322.0,0.13
D3542,Driver_3542,Bangalore,6,749.44,124.91,,
D785,Driver_785,Chennai,44,5879.4,133.62,341.0,0.13
D4115,Driver_4115,Bangalore,27,4450.2,164.82,261.0,0.1
D2732,Driver_2732,Bangalore,28,4390.86,156.82,224.0,0.13
D3237,Driver_3237,Mumbai,12,467.55,38.96,108.0,0.11
D1388,Driver_1388,Mumbai,9,612.6,68.07,,
D1349,Driver_1349,Mumbai,40,4212.75,105.32,328.0,0.12
D3774,Driver_3774,Chennai,8,915.57,114.45,32.0,0.25
D2474,Driver_2474,Bangalore,36,3802.72,105.63,252.0,0.14
D2404,Driver_2404,Hyderabad,18,2012.62,111.81,90.0,0.2
D4247,Driver_4247,Mumbai,44,2307.36,52.44,374.0,0.12
D4541,Driver_4541,Delhi,9,460.6,51.18,54.0,0.17
D221,Driver_221,Bangalore,55,8658.55,157.43,528.0,0.1
D1923,Driver_1923,Bangalore,10,1861.04,186.1,95.0,0.11
D527,Driver_527,Chennai,8,820.3,102.54,40.0,0.2
D4374,Driver_4374,Bangalore,39,5876.7,150.68,351.0,0.11
D2854,Driver_2854,Hyderabad,33,2692.71,81.6,209.0,0.16
D3819,Driver_3819,Mumbai,78,6483.6,83.12,442.0,0.18
D3352,Driver_3352,Delhi,27,1298.7,48.1,171.0,0.16
D3274,Driver_3274,Chennai,11,1807.95,164.36,110.0,0.1
D3691,Driver_3691,Bangalore,30,5465.28,182.18,160.0,0.19
D4292,Driver_4292,Bangalore,8,1343.76,167.97,,
D2443,Driver_2443,Hyderabad,39,4068.63,104.32,351.0,0.11
D2860,Driver_2860,Mumbai,33,2776.95,84.15,253.0,0.13
D3000,Driver_3000,Chennai,27,3847.26,142.49,216.0,0.13
D1165,Driver_1165,Hyderabad,10,418.15,41.82,40.0,0.25
D3459,Driver_3459,Mumbai,18,1512.36,84.02,150.0,0.12
D3933,Driver_3933,Hyderabad,40,3040.64,76.02,270.0,0.15
D2073,Driver_2073,Delhi,72,6791.46,94.33,516.0,0.14
D802,Driver_802,Mumbai,10,694.2,69.42,50.0,0.2
D34,Driver_34,Mumbai,24,1920.15,80.01,144.0,0.17
D454,Driver_454,Delhi,20,1420.0,71.0,140.0,0.14
D2583,Driver_2583,Mumbai,10,653.4,65.34,105.0,0.1
D4893,Driver_4893,Bangalore,12,1775.95,148.0,,
D2421,Driver_2421,Chennai,32,4015.64,125.49,248.0,0.13
D51,Driver_51,Hyderabad,12,1148.97,95.75,108.0,0.11
D1290,Driver_1290,Bangalore,18,1874.82,104.16,156.0,0.12
D3631,Driver_3631,Hyderabad,12,771.31,64.28,120.0,0.1
D360,Driver_360,Bangalore,24,2944.8,122.7,156.0,0.15
D3787,Driver_3787,Chennai,30,2729.04,90.97,250.0,0.12
D2931,Driver_2931,Mumbai,18,1891.8,105.1,162.0,0.11
D307,Driver_307,Mumbai,8,728.4,91.05,,
D1478,Driver_1478,Delhi,32,1905.6,59.55,240.0,0.13
D2487,Driver_2487,Chennai,9,1046.56,116.28,72.0,0.13
D1595,Driver_1595,Bangalore,24,2267.56,94.48,180.0,0.13
D1,Driver_1,Mumbai,24,1786.2,74.43,186.0,0.13
D408,Driver_408,Chennai,26,2829.04,108.81,143.0,0.18
D4389,Driver_4389,Hyderabad,5,342.48,68.5,35.0,0.14
D4076,Driver_4076,Delhi,6,368.2,61.37,24.0,0.25
D133,Driver_133,Delhi,22,1665.2,75.69,143.0,0.15
D2326,Driver_2326,Bangalore,14,1380.18,98.58,63.0,0.22
D2031,Driver_2031,Delhi,10,462.5,46.25,40.0,0.25
D3145,Driver_3145,Chennai,24,2312.52,96.36,222.0,0.11
D588,Driver_588,Delhi,14,620.6,44.33,112.0,0.13
D529,Driver_529,Mumbai,30,2490.3,83.01,240.0,0.13
D432,Driver_432,Bangalore,54,6087.54,112.73,459.0,0.12
D3659,Driver_3659,Chennai,4,700.34,175.09,,
D1873,Driver_1873,Hyderabad,16,1466.55,91.66,96.0,0.17
D3617,Driver_3617,Chennai,25,3946.0,157.84,185.0,0.14
D1467,Driver_1467,Bangalore,24,3724.02,155.17,144.0,0.17
D541,Driver_541,Hyderabad,14,1196.24,85.45,84.0,0.17
D2471,Driver_2471,Bangalore,80,10692.0,133.65,580.0,0.14
D1599,Driver_1599,Chennai,52,6461.68,124.26,325.0,0.16
D4997,Driver_4997,Bangalore,64,10070.12,157.35,512.0,0.13
D4631,Driver_4631,Bangalore,44,6706.36,152.42,319.0,0.14
D3906,Driver_3906,Bangalore,36,5266.4,146.29,261.0,0.14
D2175,Driver_2175,Delhi,30,2040.3,68.01,280.0,0.11
D4904,Driver_4904,Delhi,75,5548.0,73.97,570.0,0.13
D308,Driver_308,Bangalore,27,2932.56,108.61,198.0,0.14
D1535,Driver_1535,Delhi,48,3452.0,71.92,432.0,0.11
D258,Driver_258,Mumbai,10,1204.8,120.48,40.0,0.25
D2212,Driver_2212,Hyderabad,26,2037.78,78.38,234.0,0.11
D4399,Driver_4399,Mumbai,20,1542.72,77.14,100.0,0.2
D1993,Driver_1993,Bangalore,9,977.32,108.59,81.0,0.11
D2609,Driver_2609,Delhi,15,678.4,45.23,150.0,0.1
D4821,Driver_4821,Chennai,52,7461.68,143.49,455.0,0.11
D3055,Driver_3055,Hyderabad,12,983.93,81.99,108.0,0.11
D2621,Driver_2621,Bangalore,45,5171.55,114.92,285.0,0.16
D1107,Driver_1107,Delhi,28,1237.4,44.19,224.0,0.13
D4010,Driver_4010,Hyderabad,7,532.74,76.11,,
D2493,Driver_2493,Bangalore,44,5491.96,124.82,319.0,0.14
D2869,Driver_2869,Delhi,14,559.5,39.96,,
D4351,Driver_4351,Bangalore,30,3307.2,110.24,190.0,0.16
D2588,Driver_2588,Mumbai,40,2896.32,72.41,270.0,0.15
D591,Driver_591,Hyderabad,4,348.44,87.11,,
D149,Driver_149,Hyderabad,40,3303.05,82.58,296.0,0.14
D3626,Driver_3626,Hyderabad,14,1066.76,76.2,91.0,0.15
D1116,Driver_1116,Delhi,40,1511.6,37.79,320.0,0.13
D2183,Driver_2183,Mumbai,18,1985.4,110.3,174.0,0.1
D2839,Driver_2839,Delhi,30,1872.0,62.4,280.0,0.11
D1134,Driver_1134,Chennai,12,1175.83,97.99,,
D2362,Driver_2362,Mumbai,36,3049.92,84.72,306.0,0.12
D1512,Driver_1512,Chennai,33,4782.42,144.92,220.0,0.15
D917,Driver_917,Mumbai,10,698.88,69.89,65.0,0.15
D4378,Driver_4378,Mumbai,40,3308.4,82.71,360.0,0.11
D4214,Driver_4214,Chennai,24,1444.56,60.19,144.0,0.17
D3918,Driver_3918,Chennai,36,3417.51,94.93,288.0,0.13
D4867,Driver_4867,Mumbai,30,2944.8,98.16,235.0,0.13
D3781,Driver_3781,Chennai,33,3090.36,93.65,286.0,0.12
D3578,Driver_3578,Hyderabad,32,3242.12,101.32,184.0,0.17
D171,Driver_171,Bangalore,33,5203.38,157.68,242.0,0.14
D2460,Driver_2460,Delhi,18,1438.0,79.89,135.0,0.13
D2933,Driver_2933,Bangalore,15,3004.2,200.28,85.0,0.18
D4047,Driver_4047,Hyderabad,60,4549.95,75.83,504.0,0.12
D4634,Driver_4634,Chennai,40,5561.15,139.03,296.0,0.14
D961,Driver_961,Bangalore,16,2784.18,174.01,128.0,0.13
D581,Driver_581,Chennai,10,905.75,90.58,40.0,0.25
D1036,Driver_1036,Delhi,44,2718.4,61.78,418.0,0.11
D4023,Driver_4023,Mumbai,22,1392.3,63.29,220.0,0.1
D2631,Driver_2631,Delhi,55,3119.0,56.71,385.0,0.14
D4372,Driver_4372,Delhi,24,1012.5,42.19,248.0,0.1
D3630,Driver_3630,Hyderabad,26,2558.08,98.39,234.0,0.11
D4539,Driver_4539,Chennai,13,1216.88,93.61,104.0,0.13
D2300,Driver_2300,Bangalore,18,2361.6,131.2,135.0,0.13
D1450,Driver_1450,Mumbai,36,2460.96,68.36,225.0,0.16
D507,Driver_507,Chennai,15,1385.76,92.38,125.0,0.12
D2099,Driver_2099,Mumbai,30,2390.4,79.68,260.0,0.12
D4995,Driver_4995,Hyderabad,28,1412.2,50.44,252.0,0.11
D1072,Driver_1072,Delhi,104,3388.0,32.58,793.0,0.13
D3883,Driver_3883,Bangalore,24,2900.4,120.85,128.0,0.19
D3951,Driver_3951,Bangalore,14,1586.69,113.34,154.0,0.09
D2317,Driver_2317,Delhi,15,1077.0,71.8,126.0,0.12
D3461,Driver_3461,Mumbai,30,2425.5,80.85,210.0,0.14
D1700,Driver_1700,Bangalore,30,4506.82,150.23,240.0,0.13
D3600,Driver_3600,Chennai,21,2215.36,105.49,174.0,0.12
D430,Driver_430,Mumbai,78,4455.36,57.12,481.0,0.16
D63,Driver_63,Hyderabad,16,1090.65,68.17,112.0,0.14
D2429,Driver_2429,Mumbai,18,1642.05,91.23,90.0,0.2
D3661,Driver_3661,Delhi,7,441.1,63.01,,
D1917,Driver_1917,Bangalore,77,12748.4,165.56,539.0,0.14
D4653,Driver_4653,Bangalore,16,2113.12,132.07,136.0,0.12
D1372,Driver_1372,Hyderabad,32,2778.78,86.84,240.0,0.13
D3242,Driver_3242,Bangalore,32,5213.2,162.91,184.0,0.17
D3550,Driver_3550,Hyderabad,48,3034.29,63.21,272.0,0.18
D3432,Driver_3432,Mumbai,14,394.8,28.2,98.0,0.14
D3998,Driver_3998,Mumbai,24,1785.96,74.42,192.0,0.13
D260,Driver_260,Mumbai,33,2217.6,67.2,220.0,0.15
D1682,Driver_1682,Bangalore,12,1468.47,122.37,,
D614,Driver_614,Hyderabad,42,3969.78,94.52,322.0,0.13
D4061,Driver_4061,Delhi,27,885.9,32.81,171.0,0.16
D874,Driver_874,Mumbai,48,2933.64,61.12,304.0,0.16
D571,Driver_571,Delhi,32,2116.8,66.15,240.0,0.13
D1536,Driver_1536,Mumbai,4,235.35,58.84,24.0,0.17
D3384,Driver_3384,Delhi,9,78.7,8.74,,
D168,Driver_168,Chennai,24,3594.08,149.75,132.0,0.18
D3722,Driver_3722,Hyderabad,10,941.62,94.16,60.0,0.17
D2120,Driver_2120,Bangalore,44,6980.08,158.64,319.0,0.14
D4436,Driver_4436,Delhi,44,2714.8,61.7,352.0,0.13
D3807,Driver_3807,Hyderabad,98,6353.83,64.84,868.0,0.11
D390,Driver_390,Delhi,30,1578.0,52.6,300.0,0.1
D3830,Driver_3830,Delhi,24,1174.0,48.92,174.0,0.14
D1783,Driver_1783,Delhi,24,557.2,23.22,192.0,0.13
D2959,Driver_2959,Hyderabad,117,4173.03,35.67,793.0,0.15
D544,Driver_544,Delhi,6,571.4,95.23,51.0,0.12
D136,Driver_136,Hyderabad,12,1040.88,86.74,76.0,0.16
D8,Driver_8,Mumbai,9,717.15,79.68,36.0,0.25
D3641,Driver_3641,Bangalore,70,12649.42,180.71,520.0,0.13
D4270,Driver_4270,Hyderabad,14,1668.08,119.15,84.0,0.17
D4370,Driver_4370,Bangalore,40,4999.8,125.0,220.0,0.18
D2203,Driver_2203,Mumbai,44,3568.2,81.1,319.0,0.14
D4830,Driver_4830,Mumbai,52,3496.32,67.24,312.0,0.17
D957,Driver_957,Hyderabad,15,1145.28,76.35,,
D61,Driver_61,Mumbai,32,2572.8,80.4,272.0,0.12
D40,Driver_40,Bangalore,25,3543.1,141.72,160.0,0.16
D613,Driver_613,Chennai,28,1700.92,60.75,224.0,0.13
D771,Driver_771,Chennai,16,1892.8,118.3,88.0,0.18
D304,Driver_304,Mumbai,20,1772.1,88.61,180.0,0.11
D2287,Driver_2287,Hyderabad,7,453.84,64.83,,
D1539,Driver_1539,Chennai,15,2082.9,138.86,150.0,0.1
D3279,Driver_3279,Delhi,28,2079.6,74.27,196.0,0.14
D1738,Driver_1738,Delhi,12,455.1,37.93,100.0,0.12
D3519,Driver_3519,Hyderabad,18,2332.02,129.56,120.0,0.15
D2890,Driver_2890,Chennai,30,3310.32,110.34,260.0,0.12
D3410,Driver_3410,Delhi,44,2473.6,56.22,407.0,0.11
D2980,Driver_2980,Chennai,60,4614.0,76.9,380.0,0.16
D3555,Driver_3555,Delhi,18,1012.2,56.23,198.0,0.09
D2920,Driver_2920,Mumbai,48,4474.8,93.23,444.0,0.11
D4223,Driver_4223,Bangalore,16,2320.92,145.06,136.0,0.12
D3706,Driver_3706,Bangalore,48,6277.92,130.79,392.0,0.12
D3947,Driver_3947,Mumbai,42,3038.4,72.34,308.0,0.14
D4209,Driver_4209,Hyderabad,105,6555.85,62.44,765.0,0.14
D4723,Driver_4723,Chennai,12,1989.46,165.79,96.0,0.13
D3150,Driver_3150,Chennai,57,6550.56,114.92,494.0,0.12
D4132,Driver_4132,Bangalore,30,4306.11,143.54,220.0,0.14
D1006,Driver_1006,Bangalore,30,4122.9,137.43,280.0,0.11
D2751,Driver_2751,Mumbai,44,3589.92,81.59,385.0,0.11
D4211,Driver_4211,Mumbai,18,1708.8,94.93,189.0,0.1
D2153,Driver_2153,Mumbai,85,10139.25,119.29,663.0,0.13
D2481,Driver_2481,Hyderabad,48,4466.19,93.05,336.0,0.14
D3132,Driver_3132,Mumbai,44,3184.32,72.37,275.0,0.16
D4312,Driver_4312,Chennai,60,8262.06,137.7,480.0,0.13
D1218,Driver_1218,Mumbai,27,2796.75,103.58,189.0,0.14
D2046,Driver_2046,Bangalore,21,1433.31,68.25,140.0,0.15
D3945,Driver_3945,Bangalore,36,5056.7,140.46,342.0,0.11
D3349,Driver_3349,Mumbai,35,1346.52,38.47,285.0,0.12
D900,Driver_900,Mumbai,9,463.68,51.52,99.0,0.09
D222,Driver_222,Mumbai,39,1759.68,45.12,247.0,0.16
D3688,Driver_3688,Bangalore,91,11810.75,129.79,650.0,0.14
D1386,Driver_1386,Bangalore,8,1123.83,140.48,72.0,0.11
D4587,Driver_4587,Bangalore,13,1620.46,124.65,78.0,0.17
D2882,Driver_2882,Mumbai,9,823.65,91.52,63.0,0.14
D1779,Driver_1779,Mumbai,20,1215.0,60.75,170.0,0.12
D3707,Driver_3707,Bangalore,36,4356.8,121.02,306.0,0.12
D3532,Driver_3532,Bangalore,12,1089.2,90.77,78.0,0.15
D1092,Driver_1092,Hyderabad,11,1043.86,94.9,55.0,0.2
D1906,Driver_1906,Bangalore,65,8690.05,133.69,429.0,0.15
D169,Driver_169,Hyderabad,91,8635.62,94.9,728.0,0.13
D2667,Driver_2667,Delhi,36,1795.5,49.88,228.0,0.16
D3281,Driver_3281,Chennai,33,4163.79,126.18,187.0,0.18
D440,Driver_440,Hyderabad,22,838.6,38.12,165.0,0.13
D90,Driver_90,Chennai,14,2024.46,144.6,84.0,0.17
D1531,Driver_1531,Chennai,75,9264.35,123.52,540.0,0.14
D4337,Driver_4337,Hyderabad,40,3762.44,94.06,380.0,0.11
D554,Driver_554,Hyderabad,11,785.59,71.42,55.0,0.2
D1945,Driver_1945,Mumbai,6,305.55,50.93,48.0,0.13
D4676,Driver_4676,Chennai,60,6213.48,103.56,345.0,0.17
D585,Driver_585,Hyderabad,30,1340.31,44.68,250.0,0.12
D564,Driver_564,Mumbai,36,1378.56,38.29,315.0,0.11
D1799,Driver_1799,Mumbai,36,2562.84,71.19,324.0,0.11
D1313,Driver_1313,Delhi,18,1502.8,83.49,108.0,0.17
D313,Driver_313,Mumbai,45,1815.84,40.35,255.0,0.18
D3464,Driver_3464,Bangalore,28,4168.8,148.89,245.0,0.11
D4480,Driver_4480,Hyderabad,16,938.16,58.64,112.0,0.14
D2074,Driver_2074,Bangalore,24,3184.16,132.67,168.0,0.14
D417,Driver_417,Bangalore,22,3496.78,158.94,176.0,0.13
D1164,Driver_1164,Delhi,22,1475.76,67.08,143.0,0.15
D2331,Driver_2331,Delhi,35,2643.5,75.53,245.0,0.14
D3205,Driver_3205,Delhi,22,1167.6,53.07,132.0,0.17
D1826,Driver_1826,Hyderabad,7,453.71,64.82,28.0,0.25
D4384,Driver_4384,Delhi,24,1075.4,44.81,252.0,0.1
D3605,Driver_3605,Mumbai,9,483.48,53.72,54.0,0.17
D4509,Driver_4509,Hyderabad,65,5479.2,84.3,403.0,0.16
D2525,Driver_2525,Chennai,24,3285.38,136.89,192.0,0.13
D1292,Driver_1292,Delhi,20,2415.92,120.8,180.0,0.11
D2955,Driver_2955,Chennai,21,2553.75,121.61,119.0,0.18
D3379,Driver_3379,Bangalore,27,4643.85,171.99,207.0,0.13
D4578,Driver_4578,Hyderabad,80,4855.3,60.69,608.0,0.13
D4290,Driver_4290,Mumbai,16,2088.0,130.5,136.0,0.12
D2063,Driver_2063,Chennai,7,929.96,132.85,42.0,0.17
D4170,Driver_4170,Hyderabad,10,1001.65,100.17,70.0,0.14
D3413,Driver_3413,Hyderabad,8,994.41,124.3,80.0,0.1
D1343,Driver_1343,Bangalore,6,431.8,71.97,57.0,0.11
D4650,Driver_4650,Chennai,60,6676.02,111.27,410.0,0.15
D3042,Driver_3042,Delhi,32,1504.2,47.01,288.0,0.11
D3220,Driver_3220,Bangalore,26,3842.4,147.78,169.0,0.15
D4756,Driver_4756,Delhi,40,1902.4,47.56,320.0,0.13
D1630,Driver_1630,Delhi,11,783.8,71.25,121.0,0.09
D1897,Driver_1897,Chennai,27,2805.33,103.9,243.0,0.11
D1747,Driver_1747,Hyderabad,18,2148.45,119.36,138.0,0.13
